"","X","State","Date","BinaryPiracyIncident","TotalViolentIncidents","TotalCasualties","CoastalCasualties","InlandCasualties","CoastalIncidents","InlandIncidents","GDPpc","Population","Unemployment","FishStocks","Military","Trade","CoastlineLength","Ports","ChokepointDistance1","ChokepointDistance2","Chokepoints","MajorShippingLane","OngoingCivilWar","StateFragility","StateReach","CountPiracyIncidents","Monsoon","Year"
"75",2825,"Djibouti","Apr 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"76",2826,"Djibouti","May 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"77",2827,"Djibouti","Jun 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"78",2828,"Djibouti","Jul 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"79",2829,"Djibouti","Aug 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"80",2830,"Djibouti","Sep 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"81",2831,"Djibouti","Oct 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"82",2832,"Djibouti","Nov 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"83",2833,"Djibouti","Dec 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"84",2834,"Djibouti","Jan 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"85",2835,"Djibouti","Feb 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"86",2836,"Djibouti","Mar 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"87",2837,"Djibouti","Apr 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"88",2838,"Djibouti","May 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"89",2839,"Djibouti","Jun 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"90",2840,"Djibouti","Jul 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"91",2841,"Djibouti","Aug 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"92",2842,"Djibouti","Sep 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"93",2843,"Djibouti","Oct 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"94",2844,"Djibouti","Nov 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"95",2845,"Djibouti","Dec 2002",0,0,0,0,0,0,0,791.3894782,746942,10.79399967,2575.218023,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2002"
"96",2846,"Djibouti","Jan 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"97",2847,"Djibouti","Feb 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
